City,Country,Cappuccino,Cinema,Wine,Gasoline,Avg_Rent,Avg_Disposable_Income,Movehub_Rating,Purchase_Power,Health_Care,Pollution,Quality_of_Life,Crime_Rating
Geneva,Switzerland,2.8,12.94,10.49,1.28,2607.95,3917.72,83.27,61.22,74.88,29.43,82.76,54.36
Athens,Greece,2.98,6.82,5.97,1.45,468.87,681.99,76.78,26.05,46.11,27.44,30.57,57.49
Detroit,United States,1.96,5.56,7.85,0.67,632.19,1895.93,70.63,73.81,63.05,83.45,50.99,76.69
Regina,Canada,2.65,7.65,9.56,0.8,956.27,1912.54,82.07,60.8,60.24,84.07,79.98,41.56
Nottingham,United Kingdom,2.49,7.97,4.98,1.37,797.16,1793.6,80.42,53.57,79.63,24.54,75.88,44.38
Lima,Peru,1.65,3.79,6.27,1.03,784.52,392.26,73.19,23.22,53.7,58.49,22.67,65.31
Mumbai,India,0.84,3.02,6.03,0.89,603.39,337.9,77.13,28.83,58.41,70.49,26.43,34.63
Caracas,Venezuela,1.8,9.12,11.97,0.07,1634.42,527.89,65.18,11.25,44.44,83.45,8.61,85.7
Bangalore,India,0.72,3.02,4.83,0.91,362.03,422.37,77.92,38.67,69.38,80.94,52.11,51.03
Jakarta,Indonesia,1.88,3.37,16.83,0.45,807.7,336.54,69.15,17.38,38.33,57.91,15.66,48.27
Saint Louis,Senegal,1.96,6.54,6.54,0.61,980.65,2144.36,85.25,80.4,77.29,31.33,87.51,78.13
Vilnius,Lithuania,1.23,4.44,4.44,1.19,493.78,457.29,72.45,24.17,77.31,82.08,64.19,27.93
Taipei,Taiwan,1.75,6.01,8.14,0.77,784.52,942.66,77.42,38.19,88.89,87.62,52.35,15.71
Mexico City,Mexico,1.6,3.2,7.47,0.56,747.1,587.01,75.07,24.28,61.76,18.95,27.91,77.86
Madrid,Spain,1.7,6.82,3.92,1.24,1193.48,1278.72,85.37,54.07,73.51,55.77,59.87,39.34
Austin,United States,2.29,5.56,7.85,0.61,1372.91,2105.14,84.86,69.22,73.61,28.84,86.51,42.5
Brussels,Belgium,2.13,7.67,5.11,1.36,1193.48,1875.46,84.8,54.41,81.35,6.79,65.42,53.79
Boston,United States,2.62,7.85,7.85,0.65,2288.19,2451.63,82.2,59.28,78.04,61.77,82.81,40.69
Nice,France,2.13,8.1,5.11,1.3,1278.72,1624.66,82.55,49.52,87.95,59.19,68.34,47.27
Toulouse,France,1.92,7.25,4.26,1.28,1022.98,2011.86,82.1,54.47,81.01,36.23,66.66,47.27
Noida,India,0.97,3.02,6.34,0.78,301.69,603.39,82.34,57.88,56.34,89.1,42.7,75
Baku,Azerbaijan,2.53,5.48,7.59,0.51,1278.72,340.99,66.42,11.38,28.7,49.47,17.2,36.69
Addis Ababa,Ethiopia,0.46,2.29,4.18,0.72,653.77,124.22,59.88,6.38,63.89,85.59,28.41,26.04
Muscat,Oman,1.7,5.1,5.46,0.2,1061.97,1609.09,86.3,77.16,62.5,64.65,58.99,50
Naples,Italy,1.02,6.39,4.26,1.53,1044.29,1022.98,76.27,35.38,41.67,12.01,42.92,56.67
Glasgow,United Kingdom,2.52,9,6,1.07,1126.75,1654.76,84.23,85,90.55,0,80,60
Helsinki,Finland,2.57,10.23,8.52,1.43,1534.47,1960.71,81.34,54.41,74.35,29.14,75.85,40.96
Porto Alegre,Brazil,1.14,5.2,4.71,0.89,487.69,306.89,70.46,19.07,51.01,86.16,31.87,76.46
Milan,Italy,1.19,6.82,4.26,1.53,1704.96,1491.84,81.9,43.43,71.36,22.09,40.8,56.2
Lausanne,Switzerland,3.15,12.59,8.4,1.32,1714,4266.11,87.21,90.77,65.85,87.62,73.21,35.55
Alicante,Spain,1.28,6.01,4.03,1.19,511.49,852.48,82.83,44.69,75.61,28.19,72.53,44.01
Florence,Italy,1.02,6.82,4.26,1.53,1278.72,1278.72,76.63,35.31,67.11,29.44,53.73,39.58
Venice,Italy,1.28,6.82,3.41,1.4,1278.72,1875.46,78.82,45.69,72.67,11.48,70.34,21.48
New York,United States,2.58,8.5,9.81,0.69,3268.84,2530.09,90.53,55.56,51.39,12.01,61.94,47.33
Calgary,Canada,2.55,8.29,9.56,0.74,1115.65,2231.29,85.77,63.9,75.33,23.53,87.57,29.53
Casablanca,Morocco,1.7,3.94,3.45,0.85,997.08,230.09,68.27,13.2,53.7,62.97,48.69,38.28
Strasbourg,France,2.13,7.25,4.26,1.32,937.73,1790.21,84.18,72.23,42.81,39.91,66.5,47.27
Wellington,New Zealand,2.2,8.82,8.27,1.17,1515.65,1763.67,81.06,49.11,73.72,30.55,79.83,27.38
Valencia,Spain,1.28,6.82,4.26,1.24,596.74,1193.48,81.06,49.11,72.07,35.24,64.89,26.04
Bratislava,Slovakia,1.45,5.11,4.26,1.28,852.48,681.99,74.76,29.29,59.72,30.55,56.18,34.38
Minsk,Belarus,1.31,2.12,4.25,0.56,491.12,294.2,68.41,16.14,50,66.89,51.66,26.82
